Title,Link,Views,Upload Date,Duration
The Next Computer? Your Glasses | Shahram Izadi | TED,https://www.youtube.com/watch?v=gElClXpg4J0,86K views,22 hours ago,
The Key to Navigating Change With Confidence | Kristy Ellmer | TED,https://www.youtube.com/watch?v=Jc97OeIpaEY,27K views,2 days ago,
Why Are We Sending Critical Metals to the Dump? | Jeff More | TED,https://www.youtube.com/watch?v=4fOWQfzWHbc,19K views,4 days ago,
"Meet NEO, Your Robot Butler in Training | Bernt Børnich | TED",https://www.youtube.com/watch?v=p3uBMqCPSDk,377K views,5 days ago,
This Is What a Digital Coup Looks Like | Carole Cadwalladr | TED,https://www.youtube.com/watch?v=TZOoT8AbkNE,943K views,9 days ago,
Is Generosity the Most Underrated Leadership Skill? | Joe Davis | TED,https://www.youtube.com/watch?v=PsFlp3u74mI,27K views,10 days ago,
An Ethicist’s Guide to Living a Good Life | Ira Bedzow | TED,https://www.youtube.com/watch?v=OgK5eQQIUGQ&pp=0gcJCX4JAYcqIYzv,34K views,11 days ago,
An NBA Champion’s Advice on Being a Top Teammate | Shane Battier | TED,https://www.youtube.com/watch?v=-k-bg0q3NNw,30K views,12 days ago,
A Survival Guide for Musicians in the Age of AI | Harvey Mason jr. | TED,https://www.youtube.com/watch?v=r4n79ZRepi8,28K views,2 weeks ago,
How to See the Future Coming — and Prepare for It | Jane McGonigal | TED,https://www.youtube.com/watch?v=C4QMPhiF_as,42K views,2 weeks ago,
Work Is Broken. Gen Z Can Help Fix It | Amanda Schneider | TED,https://www.youtube.com/watch?v=n8QoLnT4ygo,53K views,2 weeks ago,
A Concrete Plan for Sustainable Cement | Ryan Gilliam | TED,https://www.youtube.com/watch?v=eMiPKpXbm9A&pp=0gcJCX4JAYcqIYzv,25K views,2 weeks ago,
What You Miss When You Focus on the Average | Sharon Zicherman | TED,https://www.youtube.com/watch?v=ADAmTm_45uk,27K views,2 weeks ago,
The Science Behind Dramatically Better Conversations | Charles Duhigg | TED,https://www.youtube.com/watch?v=K_RSZC0s8a4,132K views,3 weeks ago,
How Light and Code Can Transform a City | Leo Villareal | TED,https://www.youtube.com/watch?v=utTlli1Ett0,19K views,3 weeks ago,
My Big Idea (Ep. 3): A Monthly Miracle Packed with Scientific Potential | Karli Büchling,https://www.youtube.com/watch?v=q3_AS6GM2Cs,33K views,3 weeks ago,
My Big Idea (Ep. 2): Can a Boxing Gym Transform a Community? | Percy Tussamba,https://www.youtube.com/watch?v=4lxyPcI7kn0,13K views,3 weeks ago,
My Big Idea (Ep. 1): A Joyful Way to Get Outside | Hazel Cottle | How to Create a TED Talk,https://www.youtube.com/watch?v=VjegFh1zhY4,25K views,3 weeks ago,
"What If You Could Give a TED Talk? An Inside Look at ""My Big Idea,"" an Original Series from TED",https://www.youtube.com/watch?v=lZTBIO3OtYc,18K views,3 weeks ago,
A Guide to Self-Love for Skeptics | Dan Harris | TED,https://www.youtube.com/watch?v=bRyFB4mQHzY,18K views,3 weeks ago,
"My Big Idea, a Behind-the-Scenes Look at TED Talks | Premiering Tuesday, March 25 on @TED",https://www.youtube.com/watch?v=LsojAy3i1gE,43K views,4 weeks ago,
How to Handle Grief at Work and Beyond | Meredith Wilson Parfet | TED,https://www.youtube.com/watch?v=yvf6xqSkAcY,34K views,4 weeks ago,
How to Finance the Future of Farming | Berry Marttin | TED,https://www.youtube.com/watch?v=p0Nag5w42ys,23K views,4 weeks ago,
Where DEI Falls Short — and How To Rethink It | Y-Vonne Hutchinson | TED,https://www.youtube.com/watch?v=jc0tTOhRVe0,19K views,4 weeks ago,
"How to Stop Being Weird About Money (w/ Paco De Leon) | How to Be a Better Human, a TED Podcast",https://www.youtube.com/watch?v=uxQ0OoyaALQ,23K views,4 weeks ago,
How AI Models Steal Creative Work — and What to Do About It | Ed Newton-Rex | TED,https://www.youtube.com/watch?v=U9d0p96N1iw,135K views,1 month ago,
Lessons From History for a Better Future | Roman Krznaric | TED,https://www.youtube.com/watch?v=lrUQn26zp_c,37K views,1 month ago,
The 7 Pillars of Unlocking Potential | Anirudh Krishna | TED,https://www.youtube.com/watch?v=OTIx-2udf6Y,34K views,1 month ago,
Why Social Health Is Key to Happiness and Longevity | Kasley Killam | TED,https://www.youtube.com/watch?v=LpSDuDIaBGk,109K views,1 month ago,
The Power Shift US Politics Needs | Anathea Chino | TED,https://www.youtube.com/watch?v=cIu8Xo5yHlI,11K views,1 month ago,
Feeling Stuck on Climate Change? Here’s What To Do | Kris De Meyer | TED,https://www.youtube.com/watch?v=9IFo0WjDvL4,21K views,1 month ago,
How to Tame Your Advice Monster | Michael Bungay Stanier | TED,https://www.youtube.com/watch?v=5gVTwb3ebAI,33K views,1 month ago,
The Food That Fertilizes Itself | Giles E.D. Oldroyd | TED,https://www.youtube.com/watch?v=caNLVaD25pU,47K views,1 month ago,
The True Story of the Iconic Tagline “Because I’m Worth It.” | The Final Copy of Ilon Specht,https://www.youtube.com/watch?v=_m8jRiOpcTA,176K views,1 month ago,
What You Can Learn Crossing the Ocean in a Canoe | Lehua Kamalu | TED,https://www.youtube.com/watch?v=nTNdC8UMcCg,35K views,1 month ago,
A Fresh Approach to International Development | Faisal Saeed Al Mutar | TED,https://www.youtube.com/watch?v=Vy87Mkix2WY,22K views,1 month ago,
Collagen’s Dirty Secret — and Its Clean Future | Fei Luo | TED,https://www.youtube.com/watch?v=uuviC8Uoh1Y,31K views,1 month ago,
Why Smell Matters More Than You Think | Paule Joseph | TED,https://www.youtube.com/watch?v=gzzEUm_78Qw,32K views,1 month ago,
"How to Divorce as Allies, Not Enemies | Allison O’Brien | TED",https://www.youtube.com/watch?v=CA028e-idL0,30K views,1 month ago,
How Little Experiments Can Lead to Big Success | Emmanuel Acho and David Epstein | TED,https://www.youtube.com/watch?v=vVAG4BjNbKs,22K views,1 month ago,
"How to Make the Most of a Finite Life (w/ Oliver Burkeman) | How to Be a Better Human, a TED Podcast",https://www.youtube.com/watch?v=6F2DLThsEGE,28K views,1 month ago,
Will AI Make Us the Last Generation to Read and Write? | Victor Riparbelli | TED,https://www.youtube.com/watch?v=6wCml0g2mRE&pp=0gcJCX4JAYcqIYzv,66K views,1 month ago,
"Trump, Europe, Ukraine and the Uncertain World Order | TED Explains the World with Ian Bremmer",https://www.youtube.com/watch?v=0-F3ufYQgNk,386K views,1 month ago,
Why Joy Is a Serious Way to Take Action | Pattie Gonia | TED,https://www.youtube.com/watch?v=Qvm9k5Wnafs,10K views,1 month ago,
How to Make Anxiety Your Friend | David H. Rosmarin | TED,https://www.youtube.com/watch?v=cTnPqgL8ZPs,96K views,1 month ago,
Can AI Match the Human Brain? | Surya Ganguli | TED,https://www.youtube.com/watch?v=Z9VovH1OWQc,81K views,1 month ago,
"Love, Trust and Marketing in the Age of AI | Amaryllis Liampoti | TED",https://www.youtube.com/watch?v=4GpNYaDkBcs,35K views,1 month ago,
Do You Talk to Yourself? Here’s How to Harness Your Inner Voice | Ethan Kross | TED,https://www.youtube.com/watch?v=xb0nLpdWttA,312K views,2 months ago,
The High-Wire Act of Unlocking Clean Energy | Jason Huang | TED,https://www.youtube.com/watch?v=rHUJAlMa7qI&pp=0gcJCX4JAYcqIYzv,28K views,2 months ago,
Why Daylight Is the Secret to Great Sleep | Christine Blume | TED,https://www.youtube.com/watch?v=2JMuljrVrSI,87K views,2 months ago,
AI Won’t Plateau — if We Give It Time To Think | Noam Brown | TED,https://www.youtube.com/watch?v=MG9oqntiJKg&pp=0gcJCX4JAYcqIYzv,164K views,2 months ago,
Natasha Rothwell: Embrace Your Main Character Energy | On the Spot,https://www.youtube.com/watch?v=Y06CZUf3cm0,39K views,2 months ago,
The Unique Love Between Humans and Dogs | Elias Weiss Friedman | TED,https://www.youtube.com/watch?v=gp_ChjQQPnU,26K views,2 months ago,
6 Ways to Make Better Connections Online | Margaux Miller | TED,https://www.youtube.com/watch?v=UoJPsI1N-54&pp=0gcJCX4JAYcqIYzv,35K views,2 months ago,
Are We Alone in the Universe? We’re Close to Finding Out | Lisa Kaltenegger | TED,https://www.youtube.com/watch?v=cYa6QYGXqu4,170K views,2 months ago,
"Spirituality for Sinners (w/ Nadia Bolz-Weber) | How to Be a Better Human, a TED Podcast",https://www.youtube.com/watch?v=BBHnLH98bNg,20K views,2 months ago,
Climate Progress Isn’t a Sprint — It’s a Marathon | Greg De Temmerman | TED,https://www.youtube.com/watch?v=yVq8r9w29DI,22K views,2 months ago,
How Digital Culture Is Reshaping Our Faces and Bodies | Elise Hu | TED,https://www.youtube.com/watch?v=Cr6kzbIwxdU,44K views,2 months ago,
What if AI Could Spot Your Lies? | Riccardo Loconte | TED,https://www.youtube.com/watch?v=4JlCcR3lumA,40K views,2 months ago,
A Bold New Chapter for TED | Chris Anderson in conversation with Jay Herratti and Anna Verghese,https://www.youtube.com/watch?v=71dsyj5pWEo,57K views,2 months ago,
Is Perfectionism Just Procrastination in Disguise? | Jon Youshaei | TED,https://www.youtube.com/watch?v=CPszftsUGVM&pp=0gcJCX4JAYcqIYzv,50K views,2 months ago,
TED Explores: Food for the Future | TED Countdown,https://www.youtube.com/watch?v=rsL4vztsChc,114K views,2 months ago,
Can Salad Dressing Transform Capitalism? | Alex Amouyel | TED,https://www.youtube.com/watch?v=MsKU2BY6yHQ,25K views,2 months ago,
Why Body Language Is the Key to Self-Expression — and Hot Selfies | David Suh | TED,https://www.youtube.com/watch?v=xNWZrR3sDfQ,87K views,2 months ago,
Why Do Some Bodies Respond Differently to Disease? | Erika Moore | TED,https://www.youtube.com/watch?v=9ILMJYAusa0,27K views,2 months ago,
How AI Will Answer Questions We Haven’t Thought to Ask | Aravind Srinivas | TED,https://www.youtube.com/watch?v=MD4W_e3dJPs&pp=0gcJCX4JAYcqIYzv,302K views,2 months ago,
Confessions of a Recovering People Pleaser | Baron Ryan | TED,https://www.youtube.com/watch?v=MQD0RKYcR6c,203K views,2 months ago,
The Secret to Telling a Great Story — in Less Than 60 Seconds | Jenny Hoyos | TED,https://www.youtube.com/watch?v=ZmNpeXTj2c4,95K views,2 months ago,
How AI Is Decoding Ancient Scrolls | Julian Schilliger and Youssef Nader | TED,https://www.youtube.com/watch?v=okSG9QaqY1o&pp=0gcJCX4JAYcqIYzv,89K views,2 months ago,
Throwing Good Parties and Building Community (w/ Priya Parker) | How to Be a Better Human,https://www.youtube.com/watch?v=xDDfUWic4CI,18K views,2 months ago,
How to Turn Setbacks into Success | Amy Shoenthal | TED,https://www.youtube.com/watch?v=CrEhGIBCAPU,55K views,2 months ago,
The Art of Marketing — for Good | Raja Rajamannar | TED,https://www.youtube.com/watch?v=yHGRBTZI6w0,38K views,2 months ago,
How Distributed Work Can Unlock Your Potential | Avani Prabhakar | TED,https://www.youtube.com/watch?v=6mh92_lU0W4,31K views,2 months ago,
Solar Energy Is Even Cheaper Than You Think | Jenny Chase | TED,https://www.youtube.com/watch?v=BsVhgta2WAo,242K views,2 months ago,
Does Your Heartbeat Shape Your Sense of Time? | Irena Arslanova | TED,https://www.youtube.com/watch?v=HSgQHH2YBxw,95K views,2 months ago,
"I’m a Conservative — and I Care About the Climate, Too | Danielle Butcher Franz | TED",https://www.youtube.com/watch?v=KEz7EZcfVts&pp=0gcJCX4JAYcqIYzv,37K views,2 months ago,
Can AI Companions Help Heal Loneliness? | Eugenia Kuyda | TED,https://www.youtube.com/watch?v=-w4JrIxFZRA,66K views,3 months ago,
How AI Can Bridge the Deaf and Hearing Worlds | Adam Munder | TED,https://www.youtube.com/watch?v=ros3INVOQEU,36K views,3 months ago,
How to feed 10 billion people — without destroying nature | Andy Jarvis | TED,https://www.youtube.com/watch?v=AbpNlshqtJc,49K views,3 months ago,
A Hospital in the Cloud Bringing Health Care Anywhere in the World | Mohamed Aburawi | TED,https://www.youtube.com/watch?v=ojZav0u29B4,22K views,3 months ago,
How to Reclaim Your Life From Work | Simone Stolzoff | TED,https://www.youtube.com/watch?v=cfKFbh8LPvU,73K views,3 months ago,
3 Reasons to Take Risks Like a Teenager | Adriana Galván | TED,https://www.youtube.com/watch?v=V56A6SHbI1Q,88K views,3 months ago,
The Potential US TikTok Ban — and What’s at Stake | Clay Shirky | TED,https://www.youtube.com/watch?v=I5oeY5O5oJI,30K views,3 months ago,
The Absurd Inequality of Climate Work — and How to Fix It | Joshua Amponsem | TED,https://www.youtube.com/watch?v=Ne-1bg2Ifn4&pp=0gcJCX4JAYcqIYzv,21K views,3 months ago,
Why Violence Is Rising With Global Temperatures | Peter Schwartzstein | TED,https://www.youtube.com/watch?v=GTmQF2ABid0,32K views,3 months ago,
The Biggest Global Risks for 2025 | TED Explains the World with Ian Bremmer,https://www.youtube.com/watch?v=U509hHthip8,432K views,3 months ago,
